"CensusTract","State","County","Urban","Pop2010","OHU2010","LowIncomeTracts","PovertyRate","MedianFamilyIncome","foodDesert"
"17031381800","Illinois","Cook County","1",1188,591,"1",23.4,60938,1
"42003483800","Pennsylvania","Allegheny County","1",3165,1485,"1",35.2,26336,1
"13117130612","Georgia","Forsyth County","1",5614,1740,"0",1.8,151944,1
"45091060905","South Carolina","York County","1",8916,3663,"0",17.3,60625,1
"6037501504","California","Los Angeles County","1",3592,1588,"1",24.3,45208,1
"48141010336","Texas","El Paso County","1",6638,1986,"0",13.7,56510,1
"31131966600","Nebraska","Otoe County","0",2128,822,"0",10.7,85703,1
"42129800100","Pennsylvania","Westmoreland County","1",1193,606,"1",41.9,25441,1
"13009970701","Georgia","Baldwin County","1",2632,815,"1",33,39958,1
"12103020208","Florida","Pinellas County","1",2300,1066,"1",20.4,56797,1
"6037406602","California","Los Angeles County","1",4973,1289,"0",7,84792,1
"24045010200","Maryland","Wicomico County","1",6142,2331,"1",21.7,51442,1
"25025050901","Massachusetts","Suffolk County","1",4165,1324,"1",17.7,54643,1
"26115833200","Michigan","Monroe County","0",4069,1437,"0",4,102986,1
"26021011000","Michigan","Berrien County","0",2801,1122,"0",7.3,68424,1
"35013000800","New Mexico","Do̱a Ana County","1",3400,1465,"1",29.5,37425,1
"26119910400","Michigan","Montmorency County","0",2372,1062,"1",19.6,49344,1
"6095252202","California","Solano County","1",9825,3034,"0",5.2,127500,1
"48201552102","Texas","Harris County","1",5928,2078,"0",1.1,80448,1
"25005650700","Massachusetts","Bristol County","1",2583,887,"1",37.3,34063,1
"20173005502","Kansas","Sedgwick County","1",5424,1943,"0",5.6,60020,1
"26099261500","Michigan","Macomb County","1",3094,1543,"1",7.9,59118,1
"12119911200","Florida","Sumter County","1",29677,16043,"0",3.7,75878,1
"40027200500","Oklahoma","Cleveland County","1",3797,1866,"1",32.4,71544,1
"1047956400","Alabama","Dallas County","1",3150,1175,"1",53.4,25191,1
"39035196200","Ohio","Cuyahoga County","1",3278,1405,"1",43.4,25549,1
"48439114206","Texas","Tarrant County","1",4468,1643,"0",11.8,112500,1
"6067009105","California","Sacramento County","1",2709,1054,"1",23.6,46283,1
"13153021201","Georgia","Houston County","0",7023,2444,"0",5.2,87433,1
"15003008405","Hawaii","Honolulu County","1",4664,1196,"0",2.5,117774,1
"36119007000","New York","Westchester County","1",6087,2375,"0",3,211583,1
"18183050600","Indiana","Whitley County","0",2015,748,"0",6.9,80500,1
"36103169901","New York","Suffolk County","1",5443,2300,"0",8.9,76679,1
"17031823302","Illinois","Cook County","1",5794,2438,"1",10.2,55357,1
"25011040300","Massachusetts","Franklin County","0",3032,1226,"0",3.5,91452,1
"39055311900","Ohio","Geauga County","0",6443,2279,"0",1.5,138929,1
"36047030600","New York","Kings County","1",2005,683,"1",21.6,62841,1
"17031050700","Illinois","Cook County","1",1418,680,"0",3.5,176875,1
"36059408000","New York","Nassau County","1",6324,2079,"0",1.5,128088,1
"26017280600","Michigan","Bay County","1",2812,1123,"1",25,46417,1
"17031819600","Illinois","Cook County","1",4010,1337,"0",2.5,166941,1
"9001070300","Connecticut","Fairfield County","1",1297,384,"1",72.2,7833,1
"6037910809","California","Los Angeles County","1",2235,727,"0",5.7,179643,1
"32003003423","Nevada","Clark County","1",6220,2004,"1",32.9,56027,1
"53067012620","Washington","Thurston County","0",4519,1779,"1",15.9,64563,1
"26163552000","Michigan","Wayne County","1",2817,909,"1",38.5,35417,1
"27087940300","Minnesota","Mahnomen County","0",2467,859,"1",20.9,54688,1
"21111011516","Kentucky","Jefferson County","1",3958,1813,"0",5.5,76513,1
"36119002402","New York","Westchester County","1",3356,1927,"0",5.8,76765,1
"8003960200","Colorado","Alamosa County","1",6342,2608,"0",20,69639,1
"12086000705","Florida","Miami-Dade County","1",4683,1929,"1",22.6,35463,1
"46107000100","South Dakota","Potter County","0",2329,1062,"0",7.1,64297,1
"6061021122","California","Placer County","1",3463,1303,"0",2.3,144397,1
"22033003904","Louisiana","East Baton Rouge Parish","1",6439,2805,"1",22.7,48105,1
"37171931200","North Carolina","Surry County","0",3711,1588,"0",12.6,71272,1
"17097861603","Illinois","Lake County","1",5899,2403,"0",2.1,129792,1
"17043844902","Illinois","DuPage County","1",4133,1624,"0",8.7,152935,1
"34005703801","New Jersey","Burlington County","0",6998,2486,"0",2,138434,1
"51710004100","Virginia","Norfolk city","1",2029,764,"1",82.8,11648,1
"6037404000","California","Los Angeles County","1",4474,1311,"0",11.3,81400,1
"6073017811","California","San Diego County","1",6355,2735,"0",5.5,125448,1
"13127000200","Georgia","Glynn County","1",4629,2139,"0",6.4,104782,1
"4013421201","Arizona","Maricopa County","1",4806,2390,"0",8.1,68620,1
"6085509902","California","Santa Clara County","1",4838,1846,"0",8.8,210250,1
"12095014502","Florida","Orange County","1",5065,1904,"1",35.3,26389,1
"36047063600","New York","Kings County","1",1236,464,"0",7.7,118511,1
"49049001106","Utah","Utah County","1",2946,876,"0",9.1,70000,1
"18105001303","Indiana","Monroe County","1",5503,2227,"0",6.9,87833,1
"55071000400","Wisconsin","Manitowoc County","1",4176,1776,"0",12.7,70104,1
"12117021404","Florida","Seminole County","1",6965,2780,"0",16.7,63981,1
"45023021000","South Carolina","Chester County","0",2242,900,"1",27.4,38750,1
"36059404901","New York","Nassau County","1",5214,1370,"0",1.2,111036,1
"18083955500","Indiana","Knox County","1",3126,1422,"1",19.7,42826,1
"37097061304","North Carolina","Iredell County","1",4705,1858,"1",10.5,58875,1
"36059412200","New York","Nassau County","1",5556,2087,"0",5.4,132500,1
"39113115012","Ohio","Montgomery County","1",5416,2207,"0",9,96250,1
"1105687100","Alabama","Perry County","0",3979,1548,"1",40.8,29018,1
"17119403702","Illinois","Madison County","0",5774,2070,"0",3.9,97500,1
"37131920100","North Carolina","Northampton County","0",5538,2340,"1",19.7,45525,1
"20173005900","Kansas","Sedgwick County","1",4446,1652,"1",20.1,45729,1
"41059940000","Oregon","Umatilla County","0",3027,1078,"0",19.5,68571,1
"12086008806","Florida","Miami-Dade County","1",4012,1240,"1",29,48355,1
"13097080510","Georgia","Douglas County","1",7344,2350,"0",14.5,79542,1
"29001950300","Missouri","Adair County","1",2951,1388,"1",39.3,52429,1
"6059075703","California","Orange County","1",4069,1357,"0",3,169267,1
"36081040300","New York","Queens County","1",6777,1540,"1",25,41951,1
"6075010200","California","San Francisco County","1",4143,2544,"0",5.3,164831,1
"42101035500","Pennsylvania","Philadelphia County","1",7282,2976,"0",15.6,75750,1
"33013038000","New Hampshire","Merrimack County","0",3965,1369,"0",7.6,75000,1
"26093744900","Michigan","Livingston County","0",2526,1044,"0",7.3,72159,1
"27053022700","Minnesota","Hennepin County","1",3876,1765,"0",4.4,90208,1
"6095253108","California","Solano County","1",4088,1517,"0",4.9,98125,1
"9003462202","Connecticut","Hartford County","1",2692,1170,"0",4.4,171944,1
"5035030202","Arkansas","Crittenden County","1",3157,1226,"0",6.4,77875,1
"51800075803","Virginia","Suffolk city","0",1455,546,"0",9.8,93523,1
"36067001400","New York","Onondaga County","1",3099,1056,"1",54.7,29808,1
"53061051912","Washington","Snohomish County","0",2286,831,"0",2.5,126583,1
"26081012604","Michigan","Kent County","1",5664,2060,"0",5.6,94135,1
"34017014102","New Jersey","Hudson County","1",5060,2234,"0",4.1,84095,1
"17197880304","Illinois","Will County","1",5387,1598,"0",4.2,175446,1
"15003010100","Hawaii","Honolulu County","0",7881,2457,"0",5.3,120547,1
"39095002600","Ohio","Lucas County","1",1345,514,"0",17.5,57969,1
"27037060509","Minnesota","Dakota County","1",5441,2281,"0",15.6,105382,1
"32003002000","Nevada","Clark County","1",3942,2177,"1",26.1,44135,1
"54003972000","West Virginia","Berkeley County","1",11756,4125,"0",17,74363,1
"34021003002","New Jersey","Mercer County","1",5717,1903,"0",1.9,126250,1
"36005006000","New York","Bronx County","1",1129,360,"1",38.5,33438,1
"13181970100","Georgia","Lincoln County","0",3707,1520,"0",16.2,69464,1
"6037137502","California","Los Angeles County","1",4202,1853,"0",6.1,152000,1
"48187210804","Texas","Guadalupe County","0",4029,1521,"0",8.3,80977,1
"25017342101","Massachusetts","Middlesex County","1",4457,1556,"1",15.9,45397,1
"13109970300","Georgia","Evans County","0",3889,1375,"1",32.4,37654,1
"1003010500","Alabama","Baldwin County","1",4815,1798,"0",14.3,69951,1
"51153901411","Virginia","Prince William County","1",5491,1728,"0",1.5,197813,1
"12099005931","Florida","Palm Beach County","1",3028,1947,"0",14.1,51573,1
"35001004001","New Mexico","Bernalillo County","1",4936,1516,"1",26.7,38429,1
"39067975900","Ohio","Harrison County","0",2280,987,"0",5.4,61500,1
"29189210703","Missouri","St. Louis County","1",3914,1641,"1",13.9,56602,1
"51109950202","Virginia","Louisa County","0",3682,1489,"0",16,74745,1
"39049007952","Ohio","Franklin County","1",7428,3245,"0",5.4,105040,1
"15003007810","Hawaii","Honolulu County","1",5450,1930,"0",1.5,136406,1
"24031700818","Maryland","Montgomery County","1",6078,2483,"1",19.7,56917,1
"21105970100","Kentucky","Hickman County","0",4902,2028,"0",15.4,54207,1
"12111380200","Florida","St. Lucie County","1",3085,1090,"1",68,15974,1
"41053005202","Oregon","Polk County","1",9136,3618,"0",7.1,78016,1
"37159051102","North Carolina","Rowan County","0",3774,1490,"1",29.6,59297,1
"24027601201","Maryland","Howard County","1",7544,2840,"0",7.1,122500,1
"6081608900","California","San Mateo County","1",6556,3025,"0",6.2,164821,1
"45019002005","South Carolina","Charleston County","1",5942,2384,"0",3.4,129375,1
"55129950200","Wisconsin","Washburn County","0",1767,791,"0",9.6,62188,1
"25017339400","Massachusetts","Middlesex County","1",3326,1472,"0",18.2,122083,1
"42049010400","Pennsylvania","Erie County","1",4832,1964,"0",7.4,77311,1
"55079070200","Wisconsin","Milwaukee County","1",5172,1780,"0",2.6,166136,1
"2122000400","Alaska","Kenai Peninsula Borough","0",6497,2646,"0",14.4,95594,1
"17031809600","Illinois","Cook County","1",3301,1132,"0",9.9,113036,1
"12031014800","Florida","Duval County","1",4869,1700,"1",24.3,33341,1
"42003430200","Pennsylvania","Allegheny County","1",4667,2091,"0",5.2,79459,1
"39151713700","Ohio","Stark County","1",2458,1012,"0",17.8,56375,1
"17031740100","Illinois","Cook County","1",3048,1209,"0",3.6,101250,1
"40147000700","Oklahoma","Washington County","1",5611,2233,"0",2.5,100521,1
"12117021306","Florida","Seminole County","1",7196,3065,"0",4.1,102719,1
"4021001304","Arizona","Pinal County","1",8772,2802,"0",10.3,72174,1
"32031002618","Nevada","Washoe County","1",5609,2004,"0",3.2,86441,1
"17095000300","Illinois","Knox County","1",4416,1984,"1",20.9,53510,1
"48157671800","Texas","Fort Bend County","1",3011,1155,"1",5.8,60946,1
"4013618500","Arizona","Maricopa County","1",3647,1502,"0",9,66625,1
"17089850600","Illinois","Kane County","1",7261,2719,"0",4,121974,1
"6037271901","California","Los Angeles County","1",3087,1286,"0",12.4,95625,1
"36081053401","New York","Queens County","1",1907,592,"1",4.8,71875,1
"48179950700","Texas","Gray County","1",2175,822,"1",20.9,34063,1
"21125970300","Kentucky","Laurel County","0",4233,1617,"1",23.8,45326,1
"6001410300","California","Alameda County","1",3536,892,"1",19,51182,1
"1021060402","Alabama","Chilton County","0",8776,3229,"1",21.9,53105,1
"24510080800","Maryland","Baltimore city","1",1281,476,"1",36.5,42500,1
"6037127604","California","Los Angeles County","1",2939,1137,"1",22.5,41818,1
"27123030400","Minnesota","Ramsey County","1",5764,2394,"1",32.9,41828,1
"51550020805","Virginia","Chesapeake city","1",5373,2057,"0",2.3,97009,1
"4013422646","Arizona","Maricopa County","1",7730,2188,"0",1.9,118837,1
"48491020605","Texas","Williamson County","1",6447,2161,"0",2.3,119730,1
"25021440100","Massachusetts","Norfolk County","1",8264,3303,"0",5.1,114801,1
"6107003400","California","Tulare County","0",7016,2073,"1",27.3,50040,1
"13013180402","Georgia","Barrow County","1",5993,2111,"1",11,53042,1
"19153011300","Iowa","Polk County","0",13584,4978,"0",3.5,113584,1
"12101032111","Florida","Pasco County","1",3073,1084,"0",6.3,104259,1
"9009142603","Connecticut","New Haven County","1",3960,2199,"1",33.3,39407,1
"23019015500","Maine","Penobscot County","0",2197,866,"1",13.4,54750,1
"36001014201","New York","Albany County","1",5768,2181,"0",8.3,118021,1
"47149040701","Tennessee","Rutherford County","0",8751,3179,"0",2.3,77124,1
"51119951000","Virginia","Middlesex County","0",3906,1610,"1",8.9,62308,1
"12099005940","Florida","Palm Beach County","1",1634,1223,"1",22.2,47422,1
"26125161000","Michigan","Oakland County","1",1909,895,"0",11.9,79792,1
"18043071103","Indiana","Floyd County","0",3918,1436,"0",1.9,105366,1
"6059099247","California","Orange County","1",3287,789,"1",10.5,64875,1
"32003003421","Nevada","Clark County","1",3301,1257,"1",16.6,50871,1
"9011650100","Connecticut","New London County","0",2406,1033,"0",2.3,110000,1
"44007015600","Rhode Island","Providence County","1",2399,980,"1",14.5,53529,1
"53015002100","Washington","Cowlitz County","1",4303,1914,"1",36.1,28365,1
"42107001600","Pennsylvania","Schuylkill County","1",4123,1726,"0",8,64567,1
"9001010600","Connecticut","Fairfield County","1",1845,1085,"0",8.7,103906,1
"42101027902","Pennsylvania","Philadelphia County","1",3873,895,"1",41,37283,1
"2130000400","Alaska","Ketchikan Gateway Borough","0",2268,818,"0",6.8,101923,1
"13245010105","Georgia","Richmond County","1",5000,2125,"0",10.7,63214,1
"6037108202","California","Los Angeles County","1",4895,1826,"0",4.4,139000,1
"40143006708","Oklahoma","Tulsa County","1",5598,1864,"0",2.8,128580,1
"12095015602","Florida","Orange County","1",2285,827,"0",1.9,135694,1
"6073020029","California","San Diego County","1",4819,1781,"1",22.2,51144,1
"38105953600","North Dakota","Williams County","0",2368,941,"0",7.7,121319,1
"1089002802","Alabama","Madison County","1",5829,2411,"0",7.6,88420,1
"6037109603","California","Los Angeles County","1",4252,1265,"1",20.7,63750,1
"53047970700","Washington","Okanogan County","0",4286,1646,"1",35.5,41630,1
"26125168400","Michigan","Oakland County","1",3538,1319,"0",1.9,151493,1
"4013422630","Arizona","Maricopa County","1",3870,1685,"1",24.9,39745,1
"28033070310","Mississippi","DeSoto County","1",3716,1567,"1",20.2,47417,1
"26115831200","Michigan","Monroe County","0",6611,2486,"1",21.9,57461,1
"6037241300","California","Los Angeles County","1",2313,664,"1",27.3,42279,1
"39095000800","Ohio","Lucas County","1",1576,609,"1",50.6,21702,1
"13009970100","Georgia","Baldwin County","0",5401,2075,"0",13.7,61011,1
"53035940100","Washington","Kitsap County","0",6149,2559,"0",8.6,82736,1
"21211040502","Kentucky","Shelby County","0",6424,2029,"0",11,93854,1
"48401950501","Texas","Rusk County","1",5138,1916,"1",15.8,53397,1
"36059519300","New York","Nassau County","1",5956,1893,"0",7.3,105476,1
"39113040306","Ohio","Montgomery County","1",5237,2084,"0",4.9,136378,1
"19019950300","Iowa","Buchanan County","0",3276,1268,"0",3.9,82949,1
"29189221424","Missouri","St. Louis County","1",4996,1725,"0",1.8,108025,1
"38101011300","North Dakota","Ward County","0",4677,1810,"0",6.7,82212,1
"48141001900","Texas","El Paso County","1",2997,1005,"1",72.2,16404,1
"24005490703","Maryland","Baltimore County","1",2497,1132,"0",9.5,136809,1
"17031829301","Illinois","Cook County","1",3982,1345,"0",12.2,98780,1
"1101005301","Alabama","Montgomery County","1",623,197,"0",1.6,60962,1
"36047048400","New York","Kings County","1",5481,1605,"1",31,53009,1
"6061020401","California","Placer County","1",2129,951,"1",25.4,43800,1
"36047012200","New York","Kings County","1",5339,1520,"1",30.9,38517,1
"34035051900","New Jersey","Somerset County","1",4122,1355,"0",2.5,117500,1
"26075006804","Michigan","Jackson County","0",5641,2131,"0",3.7,85491,1
"6037134201","California","Los Angeles County","1",4270,1154,"0",10.7,87143,1
"39025040701","Ohio","Clermont County","1",6313,2465,"0",9.3,81510,1
"17043845200","Illinois","DuPage County","1",4854,1482,"0",0.8,226786,1
"55105002500","Wisconsin","Rock County","1",2595,1107,"1",20.3,49273,1
"45035010606","South Carolina","Dorchester County","1",1752,710,"0",5.3,100688,1
"6019005906","California","Fresno County","0",2240,796,"0",12,85987,1
"42071012302","Pennsylvania","Lancaster County","1",3127,1326,"0",3.6,72222,1
"6001437800","California","Alameda County","1",4621,1307,"1",4.7,93350,1
"48439106515","Texas","Tarrant County","1",3824,1683,"1",20.3,44595,1
"55059002905","Wisconsin","Kenosha County","1",3874,1451,"0",8.3,83689,1
"26105950700","Michigan","Mason County","0",3139,1314,"1",20.7,47027,1
"48201340600","Texas","Harris County","1",2511,971,"0",1.8,118576,1
"18039001901","Indiana","Elkhart County","1",6676,2324,"1",29.7,52222,1
"36073040400","New York","Orleans County","1",3482,1428,"1",15.3,50147,1
"39061025500","Ohio","Hamilton County","1",4141,1671,"1",24.2,76250,1
"36081019600","New York","Queens County","1",2643,764,"0",8.6,76920,1
"4019004328","Arizona","Pima County","0",3400,2019,"0",2.9,67708,1
"48121021526","Texas","Denton County","1",6031,1780,"0",2.4,146174,1
"28081950700","Mississippi","Lee County","1",3695,1394,"1",25.6,36065,1
"22043020100","Louisiana","Grant Parish","0",2438,964,"1",25.4,57727,1
"36047116000","New York","Kings County","1",2543,821,"1",27.9,36821,1
"28079040700","Mississippi","Leake County","0",3374,1330,"1",31.6,40265,1
"35045000613","New Mexico","San Juan County","0",4197,1610,"0",10.9,60000,1
"34023003102","New Jersey","Middlesex County","1",4915,1731,"0",9.4,95037,1
"21111007601","Kentucky","Jefferson County","1",1949,1023,"0",9.2,82610,1
"18103952200","Indiana","Miami County","1",2931,1208,"1",20.2,48078,1
"26121002800","Michigan","Muskegon County","1",5945,2302,"0",6,74318,1
"37183054210","North Carolina","Wake County","1",7891,2765,"0",3.2,103257,1
"6113010310","California","Yolo County","1",5485,1775,"0",3.7,102425,1
"6037554518","California","Los Angeles County","1",5435,1640,"0",4.8,106369,1
"40041375700","Oklahoma","Delaware County","1",7657,3407,"0",13.6,58771,1
"40109108801","Oklahoma","Oklahoma County","1",6549,2548,"0",9.7,75438,1
"36055013603","New York","Monroe County","1",5471,1992,"0",2.8,85625,1
"42029303100","Pennsylvania","Chester County","0",4208,1420,"0",1.1,198947,1
"36047070600","New York","Kings County","1",2700,1023,"0",2.5,111875,1
"41047001803","Oregon","Marion County","1",5293,1163,"1",16.8,54865,1
"6037533703","California","Los Angeles County","1",4236,994,"1",20.7,45700,1
"6037504101","California","Los Angeles County","1",5126,1374,"0",10.3,74659,1
"12057010817","Florida","Hillsborough County","1",3687,1391,"1",42,25625,1
"49007000300","Utah","Carbon County","1",4461,1667,"1",31.2,43109,1
"21147960100","Kentucky","McCreary County","0",2472,896,"1",28.4,39444,1
"4013082207","Arizona","Maricopa County","1",2394,705,"0",15.1,58682,1
"6073019105","California","San Diego County","0",5722,2226,"0",6.5,103289,1
"48213950400","Texas","Henderson County","0",4461,1631,"0",7.3,57917,1
"26081010200","Michigan","Kent County","1",4137,1436,"1",19.7,55264,1
"48373210203","Texas","Polk County","0",6598,1046,"1",25.1,45921,1
"40009966100","Oklahoma","Beckham County","1",7400,2870,"0",14.9,63955,1
"4013816700","Arizona","Maricopa County","1",2348,622,"0",4.1,127333,1
"48113015206","Texas","Dallas County","1",3938,1264,"1",10.7,54014,1
"42017106402","Pennsylvania","Bucks County","1",7347,2666,"0",3.9,104759,1
"6037482303","California","Los Angeles County","1",5818,1517,"1",20.1,46000,1
"12099007602","Florida","Palm Beach County","1",4276,1794,"1",22.3,57656,1
"4013112302","Arizona","Maricopa County","1",6754,1756,"1",35.8,35231,1
"6073009102","California","San Diego County","1",3537,1797,"1",24.9,43125,1
"13261950300","Georgia","Sumter County","0",7711,2580,"1",31.8,39750,1
"6075030202","California","San Francisco County","1",4313,2084,"0",12.9,159695,1
"12086002702","Florida","Miami-Dade County","1",2553,1064,"1",28,53580,1
"27137003400","Minnesota","St. Louis County","1",1450,649,"1",15.4,61190,1
"48439105508","Texas","Tarrant County","1",6648,3230,"1",9,60975,1
"29095013612","Missouri","Jackson County","1",6101,2002,"0",1.2,147153,1
"26125194000","Michigan","Oakland County","1",4852,2179,"0",5.1,84232,1
"12115002100","Florida","Sarasota County","1",6291,2897,"0",5.7,101161,1
"17111871004","Illinois","McHenry County","0",6030,2216,"0",9.2,95304,1
"22055000200","Louisiana","Lafayette Parish","1",2257,898,"1",33.8,50107,1
"22051022101","Louisiana","Jefferson Parish","1",1401,615,"0",7.2,96466,1
"17033880200","Illinois","Crawford County","0",3568,1449,"1",13.2,60750,1
"36055011203","New York","Monroe County","1",2076,866,"0",3.2,80417,1
"8013013211","Colorado","Boulder County","1",5612,2039,"0",5.2,129000,1
"21019030200","Kentucky","Boyd County","1",1381,787,"1",58.4,23594,1
"39113003403","Ohio","Montgomery County","1",3481,122,"1",43.6,87188,1
"4013061031","Arizona","Maricopa County","1",3315,1105,"0",8.3,84779,1
"28051950100","Mississippi","Holmes County","0",4396,1657,"1",38.4,26393,1
"17197883402","Illinois","Will County","0",2033,867,"0",10,69500,1
"6059011715","California","Orange County","1",6369,2424,"0",6.8,117031,1
"21067003503","Kentucky","Fayette County","1",2498,1441,"1",15,51341,1
"34023008501","New Jersey","Middlesex County","1",5281,2065,"0",3.6,92114,1
"48067950100","Texas","Cass County","0",6621,2674,"1",19.2,54970,1
"53033024800","Washington","King County","1",5668,2246,"0",9.1,103153,1
"47023970100","Tennessee","Chester County","0",5870,2237,"0",14.4,54869,1
"36081006100","New York","Queens County","1",5644,2674,"0",9.2,79271,1
"42003486800","Pennsylvania","Allegheny County","1",1827,752,"1",28,36920,1
"51660000207","Virginia","Harrisonburg city","1",6931,1771,"1",74.3,32470,1
"39035112800","Ohio","Cuyahoga County","1",1015,515,"1",39.7,28056,1
"27123042002","Minnesota","Ramsey County","1",2379,1130,"1",16,67250,1
"32003000302","Nevada","Clark County","1",4673,1506,"1",34.9,22221,1
"21131920100","Kentucky","Leslie County","0",5535,2200,"1",32.3,43277,1
"37193960900","North Carolina","Wilkes County","0",5144,2230,"0",18.7,56563,1
"29071800902","Missouri","Franklin County","1",6727,2689,"1",14.7,57472,1
"6037482301","California","Los Angeles County","1",5162,1341,"1",16.6,41280,1
"29510115300","Missouri","St. Louis city","1",4958,1939,"1",26.4,47649,1
"54099020300","West Virginia","Wayne County","1",4733,2096,"0",18.2,55114,1
"36047042000","New York","Kings County","1",1896,518,"0",18.1,80972,1
"17009970500","Illinois","Brown County","1",4331,984,"0",12.1,71397,1
"8059009840","Colorado","Jefferson County","1",3685,1505,"0",3.6,96544,1
"12105014400","Florida","Polk County","0",7707,3369,"0",11.3,62598,1
"6001450750","California","Alameda County","1",3618,1697,"0",3.3,141681,1
"37119005816","North Carolina","Mecklenburg County","1",3872,1536,"0",3,131842,1
"12011092000","Florida","Broward County","1",3843,1471,"0",5.3,157822,1
"6037141101","California","Los Angeles County","1",4066,2248,"0",9.3,77525,1
"54095961800","West Virginia","Tyler County","0",3257,1364,"0",11.8,56563,1
"40031002100","Oklahoma","Comanche County","0",6966,2594,"0",9.4,72348,1
"53075000800","Washington","Whitman County","1",3521,1522,"0",11.9,83059,1
"30029000700","Montana","Flathead County","1",5790,2244,"1",8.9,53000,1
"19167070500","Iowa","Sioux County","0",2846,1079,"0",3.8,85524,1
"6005000402","California","Amador County","0",4740,2016,"0",12.9,73911,1
"51810045425","Virginia","Virginia Beach city","1",2976,984,"0",8.3,94659,1
"34027045402","New Jersey","Morris County","1",5266,1904,"0",11.7,100417,1
"22071002900","Louisiana","Orleans Parish","1",1156,448,"1",29.7,33977,1
"18003004101","Indiana","Allen County","1",2251,885,"1",16.1,46700,1
"19015020400","Iowa","Boone County","1",2554,981,"0",6.5,64987,1
"39061021702","Ohio","Hamilton County","1",4231,1803,"1",14.9,45855,1
"5131010202","Arkansas","Sebastian County","1",3853,1418,"0",13.1,69417,1
"41005021801","Oregon","Clackamas County","1",5612,2090,"0",2,103730,1
"6037403801","California","Los Angeles County","1",6212,2003,"0",11.4,80492,1
"47037018905","Tennessee","Davidson County","1",2898,1292,"0",11.6,62321,1
"48215023513","Texas","Hidalgo County","0",7271,1657,"1",42.9,33780,1
"11001008903","District of Columbia","District of Columbia","1",2633,1150,"1",26.4,26352,1
